"ID","FANGM","BIEM","CHUFLY","YAOWZC","JIAJ","GONGX","ZUZ","ZHIBFF","YONGFYL","YONGYJJ","LINCYY","YAOLZY","GEJLS","BEIZ","YAOWS"
"061973","珠母补益方","","《临症见解》。","珍珠母2两，龙骨1两，酸枣仁3钱，五味子2钱，女贞子5钱，熟地5钱、白芍4钱。","","育阴潜阳，养血宁神，益肾固精。","心肝肾虚损诸证。失眠证，阴虚阳亢的高血压，阴虚火旺头痛证，癫痫病，诸痛证，瘿瘤病，瘰疬病，肝虚血少的肝炎病，盗汗证，肾虚证。","","","","","","","",""
"058958","柴胡桂枝干姜汤","柴胡桂姜汤、姜桂汤、桂姜汤、姜桂饮子、柴胡姜桂汤、柴胡桂枝汤、柴桂干姜汤","《伤寒论》。","柴胡半斤，桂枝3两（去皮），干姜2两，栝楼根4两，黄芩3两，牡蛎2两（熬），甘草2两（炙）。","","和解少阳，兼化痰饮。","伤寒4-5日，身热恶风，颈项强，胸胁满微结，渴而不呕，但头汗出，往来寒热，及牡疟、劳疟、疟久不愈者。现用于肝炎、窦性心动过速、冠心病心动过缓、月经不调、乳腺囊性增生。","","以水1斗2升，煮取6升，去滓，再煎取3升，温服1升，日3次。初服微烦，复服汗出便愈。","忌生葱、海藻、菘菜。","①郁冒《成绩录》：一农夫，年三十余，去年起，郁冒时发，有时稍吐血，盗汗，往来寒热，微渴而脐旁动悸，予本方治之而愈。②肝炎《刘渡舟医案》：刘某某，男，54岁。患肝炎而腹胀作泻，不欲饮食，胁痛及背。服药无数，效果不显。某君请余为治。脉弦而缓，舌淡苔白，此乃肝病及脾，脾阳先衰之象。为疏柴胡桂枝干姜汤：柴胡12g，黄芩4.5g，炙甘草9g，干姜9g，花粉12g，牡蛎12g。凡4服而腹胀与泻俱止，饮食较前为多，精神亦有好转。后以肝脾共调，佐以健脾利湿之品，肝功化验日趋正常而愈。③窦性心动过速《北京中医》（1988；3：19）：康某，男，20岁。半年来胸闷心悸不止，形瘦颧红，左乳下其动应衣，每入夜则身冷寒战，至后半夜身热汗出而解，昼日无寒热，脘痞纳呆，口干唇燥，舌质红，舌体略胖，苦薄白，脉弦细疾数。心电图示：窦性心动过速，心率110次／分。予柴胡桂枝干姜汤加龙骨30g，五味子10g。服药3剂后心悸大减，寒热止，纳增，脉转和缓（90次／分）。上方剂量减半，再予3剂而愈。④冠心病心动过缓《北京中医》（1988；3：19）：赵某，女，6O岁。3年前确诊为冠心病，现心中空虚怔仲，稍动作即心中（忄詹）（忄詹）大动，不能下地行走，已1月有余，曾服消心痛、活心丹等中西药不效。心电图：心率50次／分，ST段Ⅲ、Ⅴ5下移0．05。伴头昏身热，微恶寒，时自汗出，口干苦不欲饮，纳食尚好，神情郁闷，大便时溏时结。体丰，舌略红略胖，苔薄白微黄，脉迟缓。投柴胡桂姜汤加五味子6g，3剂，水煎服。药尽诸症均减，已下地活动，脉和缓（60-70次／分）。上方去五味子，加川贝10g，炒麦芽15g，继服3剂，追访至今未再发。⑤月经不调《古方便览》：一妇人，平素月经不调，其气上冲，两胁急缩，腰痛不可忍，经行之时，脐下疼痛，下如豆汁，一日或半日即止，已十余年。诊之，胸胁苦满，脐上动悸甚，予本方，服之数月，前证得愈。③乳腺囊性增生症《新医药学杂志》（1979；1：33）：王某，女，39岁。左乳房外上方有一肿块，如核桃大，肿块近处，有黄豆大数粒小肿块，右乳房中上方稍偏外侧，有一肿块如大枣状，触之有痛感，质坚硬，推之可移，边界不清，而两腋下淋巴结不肿大，诊断为乳癖（乳腺囊性增生症），给以本方，服20剂后，两侧乳房肿块全消，自觉症状消失而痊愈。3年后随访，未见复发。","①对内分泌腺的影响《药学杂志》（1980；6：602、607）：实验研究证实，本方及单味柴胡可使肾上腺与胸腺等脏器发生重量变化，特别是柴胡的有效成分柴胡皂甙可使肾上腺肥大，造成胸腺萎缩，柴胡皂甙d的作用最显著。②保肝作用《药学杂志》（1984；7：798）：实验性肝损害证实，当腹腔注射D-半乳糖胺后，分别给与本方和小柴胡汤等柴胡方剂，能抑制血清转氨酶（GPT、GOT）上升（抑制率60％）。③抗癫痫作用《生药学杂志》（1978；4：273）：本方加芍药的溶液对软体动物（蜗牛）的神经节细胞有抑制作用，实验表明有抗戊四氮（PTZ）作用，方中芍药、生姜、桂枝有与本方加芍药相同的抗PTZ作用。对小鼠听源性惊厥呈有意义的抑制，证实了在临床上抗癫痫的疗效。","①《伤寒明理论》：《内经》曰：热淫于内，以苦发之。柴胡、黄芩之苦，以解传里之邪；辛甘发散为阳，桂枝、甘草之辛甘，以散在表之邪；咸以软之，牡蛎之咸，以消胸胁之满；辛以润之，干姜之辛，以固阳虚之汗；津液不足而为渴，苦以坚之，栝楼之苦以生津液。②《古方选注》：以桂枝行太阳未罢之邪，重用柴胡、黄芩转少阳之枢，佐以干姜、甘草，开阳明之结，使以花粉，佐牡蛎深入少阴，引液上升，救三阳之热。不必治厥阴，而三阳结邪，一一皆从本经而解矣。用柴胡和少阳之阳，即用黄芩和里；用桂枝和太阳之阳，即用牡蛎和里；用干姜和阳明之阳，即用天花粉和里；使以甘草，调和阴阳，其分两阳分独重柴胡者，以正疟不离手少阳也；阴药独重于花粉者，阴亏之疟，以救液为急务也。③《金鉴》：少阳表里未解，故以柴胡桂枝合剂而主之，即小柴胡汤之变法也。去人参者，因其正气不虚；减半夏者，以其不呕，恐助燥也。加栝楼根，以其能止渴兼生津液也；倍柴胡加桂枝，以主少阳之表；加牡蛎，以软少阳之结。干姜佐桂枝，以散往来之寒；黄芩佐柴胡，以除往来之热，且可制干姜不益心烦也。诸药寒温不一，必需甘草以和之。初服微烦，药力未及；复服汗出即愈者，可知此证非汗出不解也。④《寒温条辨》：柴胡除少阳之寒热，桂枝解太阳之余邪，花粉彻阳明之渴热，干姜去胸胁之烦满，甘草调汗下之误伤，此少阳阳明两解之治法也。⑤《金匮玉函经二注》：用柴胡为君，发其郁伏之阳；佐以桂枝、干姜，散其肌表之痹；栝楼根、牡蛎为臣，除留热、消瘀血；佐以黄芩助柴胡，治半表半里；甘草以和诸药、调阴阳也。得汗则痹邪散，血热行而病愈耳。⑤《中国医学大辞典》：柴胡、桂枝、黄芩，并转少阳之枢，而达太阳之气；牡蛎则启厥阴之气，以解胸胁之结；栝楼根引水液上升，而止烦渴；汗下后，中气必虚，故用甘草理中。","柴胡桂姜汤（《金匮》卷上附方引《外台》）、姜桂汤（《全生指迷方》卷二）、桂姜汤（《三因》卷六）、姜桂饮子（《普济方》卷一九七）、柴胡姜桂汤（《玉机微义》卷九）、柴胡桂枝汤（《伤寒全生集》卷三）、柴桂干姜汤（《医原》卷下）。本方方名，《外台》引作“小柴胡汤”、“小柴胡桂姜汤”。",""
"057969","健脾补肾汤","","《古今名方》引关幼波方。","党参15g，川续断15g，白术12g，茯苓12g，白芍12g，当归12g，五味子12g，菟丝子12g，川厚朴9g，香附9g。","腹泻，加苍术、芡实、诃子肉各9g；腰腿痛，足跟痛，加牛膝、生薏苡仁、仙灵脾各12g；夜尿多，加鹿角霜、女贞子各12g；腹胀甚，加冬瓜皮12g，木香4.5g；肝区隐痛，加桑寄生15g，木瓜12g。","健脾补肾。","慢性、迁延性肝炎，早期肝硬化，肝功能长期不正常，证属脾肾两虚者。","","","","","","","",""
"056587","重型消黄汤","","《中医原著选读》引关幼波方。","茵陈90g，生石膏1两，炒知柏3钱，藿香3钱，佩兰3钱，鲜茅根1两，杏仁3钱，赤芍5钱，丹皮5钱，泽兰5钱，酒胆草5钱，六一散（包）3钱。","高烧（39度以上），或兼神昏谵语者，加服安宫牛黄散4分，分2次冲服；或加服紫雪散1钱，分2次冲服；或加服局方至宝丹1丸，分2次服。便秘者，加酒军3钱，瓜蒌5钱。退黄时茵陈的用量要大，最大可用4两，并加活血药，以加速退黄的作用。","清热利湿，活血解毒，芳香透表。","肝炎。","","","","","","","",""
"066659","清肝饮","","《常见病的中医治疗研究》。","茵陈1两，败酱草1两，金银花1两，丹皮3钱，栀子3钱，大黄3钱，枳实3钱，郁金3钱，龙胆草3钱，甘草1钱。","","","急性黄疸型肝炎。","","水煎服。","","","","","",""
"067338","清热导滞汤","","方出《中医原著选读》引关幼波方，名见《古今名方》。","川军3钱，白头翁4钱，秦皮3钱，茵陈5钱，赤芍5钱，丹皮3钱，六一散（包）4钱，马齿苋5钱，川连1钱，藿香3钱。","大便有粘液者，加焦榔3钱，山楂5钱；小便量少者，加车前子（包）3线，泽泻3钱。","清热导滞，利湿解毒。","湿热下注型肝炎。常见于迁延性慢性肝炎，谷丙转氨酶长期不降者。症见食纳正常，食后腹胀，有时伴腹痛，小便黄赤，大黄日行3至4次，但不通畅，脉沉弦滑，舌苔白腻或黄，舌质红。","","","","","","","",""
"067416","清热解郁汤","","《临证医案医方》。","龙胆草6g，丹皮9g，生地9g，白茅根15g，赤芍9g，白芍9g，银柴胡9g，金银花9g，连翘9g，山栀9g，竹叶6g，枳壳6g，郁金9g。","","清热凉血，舒肝解郁。","慢性肝炎郁热型。肝区痛，有热感，五心烦热，舌尖红，脉弦微数。","","","","","","方中用生地、丹皮、茅根、赤芍凉血清热；山栀、竹叶引热下行；金银花、连翘清热，散热结；郁金、枳壳疏肝理气解郁，郁解则热除；银柴胡可清虚热，有调节少阳的作用，可使血分之热邪转到气分而解。诸药配伍，共奏清热凉血，疏肝解郁之功。","",""
"067319","清热平肝汤","","方出《中医原著选读》引关幼波方，名见《古今名方》。","茵陈5钱，醋柴胡3钱，酒胆草3钱，小蓟5钱，赤芍4钱，丹皮4钱，石见穿5钱，白矾1钱，郁金3钱，泽兰1钱半。","厌油者，加藿香3钱，佩兰3钱；胆固醇高者，加山楂5钱，草决明5钱；大便干者，加酒军3钱；小便黄者，加六一散（包）4钱。","清热平肝，凉血解毒。","肝胆湿热型：多见于迁延性慢性肝炎、脂肪肝或合并胆道感染，谷丙转氨酶长期不降或胆固醇增高者。症见口干口苦，两胁持续作痛，小便黄赤，大便干燥，身体日见增胖，胃腹作胀，有时烦躁，脉弦滑，舌苔白腻或黄厚，舌质红。","","","","","","","",""
"067320","清热平肝汤","","《眼科临症笔记》。","葛花5钱，黄芩3钱，栀子4钱，麦芽3钱（炒），车前子3钱（外包），神曲3钱（炒），鳖甲3钱，当归3钱，白芍3钱，茵陈8钱，西滑石3钱，甘草1钱。","","","目睛通黄症（黄疸性肝炎眼部症状）。两眼不疼不红，目珠变黄色，视力稍减。","","水煎服。","","","","","",""
"072327","黄疸汤","","《临证医案医方》。","茵陈30g，山栀9g，金银花15g，连翘15g，败酱草15g，板蓝根15g，赤芍9g，白芍9g，柴胡6g，神曲15g，苏梗6g，桔梗6g，大豆黄卷15g。","","清热利湿退黄。","急性黄疸型肝炎（阳黄）。巩膜黄染，周身皮肤发黄，小便黄赤，舌苔黄腻，脉弦数。","","","","","","茵陈清热利湿退黄，大豆黄卷解湿热退黄，金银花、连翘、板兰根、败酱草、山栀清热解毒，苏梗、桔梗、柴胡舒肝理气，神曲发酵协助退黄，芍药柔肝养阴与柴胡配伍应用，为治疗肝胆疾患的要药。","",""
"073091","滋补肝肾汤","","《古今名方》第四章引关幼波方。","北沙参15g，白芍15g，川断15g，菟丝子15g，女贞子15g，五味子12g，首乌12g，黄精12g，当归12g，生甘草9g。","若腰痛甚，加狗脊、桑寄生各15g；盗汗多，加生牡蛎、生龙骨、浮小麦各15g，乌梅9g；失眠重，加远志、百合各12g；梦遗滑精，加芡实、补骨脂、诃子肉各12g；肝区痛重，加草河车9g，黄连4.5g。","滋补肝肾。","慢性迁延性肝炎，肝功能长期不正常，证属肝肾阴虚型者。症见腰腿i软无力，劳累则肝区痛，睡眠多梦，精神疲倦，头晕目眩，有时盗汗，舌净无苔或舌质稍红，脉沉细弦。","","","","","","","",""
"074791","滋阴养血汤","","《临证医案医方》。","生地9g，熟地9g，当归身9g，阿胶珠12g，白芍9g，首乌9g，枸杞子12g，炒枣仁12g，柏子仁9g，天冬9g，麦冬9g，鳖甲9g，龟版9g，甘草3g。","","滋阴养血。","慢性肝炎（阴虚型）。头晕心悸，五心烦热，或易怒神疲，肝区隐痛，舌质淡，少苔，脉细弦或细数。","","","","","","方中用龟版、鳖甲、生地、天冬、麦冬等滋阴；用熟地、当归身、阿胶珠、白芍、首乌、枸杞子等以养血；用柏子仁，炒枣仁以治心悸不安，甘草调和诸药。全方配伍，共起到滋阴养血的作用。","",""
"077566","慢肝六味饮","","《千家妙方》。","太子参15g，茯苓15g，白术12g，川萆Z10g，黄皮树叶15g，甘草5g。","","健脾补气，扶土抑木。","慢性肝炎。","","每日1剂，水煎服。","","华某，女，40岁，干部。患无黄疸型传染性肝炎已一年余，不能坚持工作已数月。症见怠倦，胃纳差，胁痛，面色黄滞，唇淡，舌淡嫩，苔白厚，脉弦，肝大2.5cm，谷丙转氨酶500单位。给予服用慢肝六味饮，加扁豆12g。服药半个月后，胁痛减，精神见好，胃纳增，仍怠倦。去黄皮树叶，再进半月，谷丙转氨酶降至200单位。照上方加减服药3个月，检查正常，坚持又用药半年使疗效巩固。随访五年余，未见复发。","","","",""
"077582","慢性肝炎丸","","《北京市中成药规范》。","板蓝根50斤，甘草20斤，茵陈50斤。","","清肝消胀。","慢性肝炎，迁延性肝炎，周身无力，食欲不振，腹胀，肝区疼痛。","将药材加工洁净，取甘草、板蓝根10斤，煮提三次，时间分别为3小时、2小时、1小时；茵陈热浸二次，时间分别为2小时、1小时。合并以上药液，过滤沉淀，减压浓缩至比重1.4～1.5，温度（50℃）的稠膏。取板蓝根40斤，粉碎成细粉，过100目筛。制丸：将稠膏加入老蜜（120℃，为原粉量的一倍），趁热与药粉混合均匀，调成适宜稠度，制成小丸，待凉后用干酪素上衣即可。上衣：取干酵素100g，加3～4倍水，水浴加热，边搅边加入饱和碳酸钠溶液10～15毫升，调节pH7.5～8，过滤后再加入少量乙醇调至适当浓度即得。包糖衣。","每服15-20粒，温开水送下，1日2次。","忌各种酒类。","","","","",""
"078651","舒肝和胃汤","","《中医原著选读》引关幼波方。","旋覆花3钱，生赭石3钱，藿香3钱，佩兰3钱，焦白术3钱，酒芩3钱，白芍4钱，当归3钱，草蔻2钱，香附3钱。","若脘腹胀甚者，加沉香末5分（分次冲服）；两胁窜痛甚者，加木瓜4钱，延胡索3钱；大便于者，加瓜蒌4钱，焦四仙1两；纳少体虚，加党参5钱，云苓4钱。","舒肝和胃，养血柔肝。","慢性、迁延性肝炎，转氨酶长期不降，证属肝胃不和型者。症见恶心欲吐，呃逆嗳气，食后胃脘胀闷，有时胃痛，两胁窜痛，厌油，大便时干时稀，脉弦滑，舌苔白或黄。","","","","","","","",""
"078656","舒肝理气汤","","《临证医案医方》。","青橘叶9g，青皮9g，陈皮9g，枳壳9g，厚朴花6g，香附9g，苏梗6g，赤芍9g，白芍9g，柴胡6g，郁金9g，甘草3g。","","舒肝，理气，止痛。","慢性肝炎属气滞型。两胁窜痛，肝区脘腹胀满，舌苔白，脉弦。","","","","","","青橘叶、青皮走两胁，入肝胆，可舒肝理气；陈皮、枳壳、桔梗为一组常用理气药，善理中焦及两胁气滞；桔梗性升，枳壳性降，一升一降，气机通调，疼痛可止；芍药、柴胡柔肝舒肝，二药配合，一辛一酸，一舒一敛，一刚一柔，伍用甚妙，为治疗肝胆疾患的要药，临床可用于肝胆疾患的始终，柴胡又为肝胆经的引经药，可引诸药直达病所；郁金理血中之气，解郁止痛；芍药、甘草柔养缓急；厚朴花、香附、苏梗理气止痛。","",""
"051621","活血祛瘀汤","","《临证医案医方》。","丹参30g，当归9g，赤芍9g，鸡血藤15g，桃仁6g，玄胡9g，郁金9g，三七3g（研），香附9g，枳壳6g，广木香6g，甘草3g。","","活血，化瘀，止疼。","慢性肝炎（血瘀型），肝区刺痛，痛处不移，舌质紫，脉细涩。","","","","","","","",""
"049752","复肝丸","","《黑龙江省中草药制剂汇编》（第一集）。","胆草5kg，黄耆5kg，鸡血藤5kg，红花5kg，当归5kg，炼蜜8kg。","","活血化瘀，消炎解毒。","肝炎，肝硬化。","取红花、当归为细末；再取黄耆、胆草、鸡血藤置煎煮锅中煎煮2次，首次2小时，第2次1小时，合并煎液滤过，浓缩成稠膏状，与上末混合搅匀，烘干后粉碎过筛（应小于一百目），加炼蜜混合均匀，使柔软滋润，搓条为丸，烘干包装，丸重2钱。","每次1丸，1日2-3次。","","","","","",""
"049715","复方垂盆草糖浆","","《新医学》1974；（7）：324。","鲜垂盆草125g，平地木31g，蔗糖适量。","","降转氨酶。","慢性迁延性肝炎。","","水煎，制成糖浆100毫升。分2次服（1日量）。","","","","","",""
"042767","和肝散","","《千家妙方》卷下引马荫笃方。","全瓜蒌60g，广郁金15g，片姜黄15g，神曲15g，生甘草15g。","","清热化郁，健脾和肝。","小儿黄疽型肝炎属湿热熏蒸，胆汁外溢者。","共研细粉。","3岁小儿每服2g（可随年龄大小而增减），1日3-4次，白糖开水冲服。","","","","","",""
"042413","参茸王浆","","吉林省通化百山制药三厂方。","人参、鹿茸。","","滋补强壮。","神经衰弱，四肢无力，肝炎、贫血、骨折。","制成口服液，每支10毫升。","每日早、晚各服1支。","","","","","",""
"039872","肝病复原丹","","《赵心波儿科临床经验选编》。","银柴胡60g，川朴60g，木香30g，香附90g，桃仁60g，当归120g，三棱30g，莪术30g，姜黄90g，延胡索60g，红花30g。","","逐湿化浊，解毒化瘀，消肝脾肿，恢复肝功。","肝炎缠绵不愈，胸闷腹胀，肝脾肿大，恶心纳差，胁痛。","上为细末，炼蜜为丸，丸重10g。","青年和成人服用适宜，每服1丸，1日2次。","","","","","",""
